dg,cc_mean,cc_lower,cc_upper,n_samples
1702.0,0.3973674358582695,0.385835980549328,0.40887543530233145,175
1709.0,0.39739193812494666,0.3857228882155583,0.4091818161828247,175
1710.0,0.39744452737391184,0.3859401675669191,0.40899822658316815,177
1717.0,0.396932927619584,0.3856801958993473,0.4082886285965673,180
1720.0,0.3972348385835942,0.3855473148846497,0.4087448237208663,179
1724.0,0.3973135741414267,0.38625276537029535,0.40851282750253265,180
1726.0,0.39775080023221504,0.3865035371565794,0.4091513936948464,181
1728.0,0.39775080023221504,0.38637815470706943,0.4088148935573882,181
1731.0,0.39775080023221504,0.3867095662274975,0.4088588090142014,181
1734.0,0.397673424805095,0.386105040604054,0.40896766169289506,179
1736.0,0.397673424805095,0.38638321744755494,0.40879940661709047,179
1739.0,0.39679412757780974,0.38521977004676766,0.40818797868972584,178
1740.0,0.39643955357519794,0.3851399326215111,0.40801594433148086,179
1745.0,0.39596102763500585,0.3844126840720309,0.40747281036941524,179
1752.0,0.39411715721872875,0.3824148580577618,0.40600276445942635,179
1754.0,0.3951225709488049,0.3835789249491014,0.4065854910951183,177
1762.0,0.39435427728439454,0.3827259173809204,0.40615011539792606,174
1765.0,0.39416214147573714,0.38230789423301437,0.4059968998498079,174
1776.0,0.3940246346178447,0.3822157703722677,0.40564076629798074,174
1781.0,0.39399505004163293,0.38215650477577334,0.4056012768356234,172
1782.0,0.39399505004163293,0.3820435316275596,0.4057650687800156,172
1783.0,0.39399505004163293,0.38203762203916414,0.4060000868532548,172
1791.0,0.3933429247696851,0.38156328798777045,0.405076409880915,172
1795.0,0.3933852118987276,0.3812435419577424,0.40536974228901335,171
1817.0,0.3936806875032941,0.3820028131444159,0.40572183583562577,170
1829.0,0.3939985238683932,0.38181964979285093,0.4059348148345087,167
1833.0,0.3937509422167156,0.38199354295323884,0.40538294768452876,166
1834.0,0.3933871015744675,0.3816213681087208,0.40530075202188115,165
1839.0,0.3933319276241202,0.38140086168247744,0.4055572469963779,160
1840.0,0.3933319276241202,0.3810783939956087,0.40561747518346486,160
1841.0,0.3933319276241202,0.3814613425699518,0.4054991035192963,160
1850.0,0.3933985636083795,0.3811970325999334,0.40577387008306603,159
1855.0,0.3929504594014404,0.3807089771693518,0.40507779270837185,161
1862.0,0.39245667675148155,0.38035774781150317,0.40481962311003256,161
1879.0,0.3917087785848943,0.38000994547925837,0.40380426200736347,162
1885.0,0.3920793370570675,0.38021728019204976,0.40391376003868207,162
1890.0,0.3919706621369468,0.3801429592009946,0.4037381550242682,163
1891.0,0.39221133396600977,0.3802808895904789,0.403916452456939,163
1896.0,0.39221133396600977,0.3803279815911911,0.40379410336152954,163
1899.0,0.39201855650031525,0.38036542115851063,0.40339669611584467,164
1905.0,0.3923414121172277,0.3806556600771204,0.4041813818978704,163
1910.0,0.3932513537008152,0.38167403389699034,0.4048436225322836,162
1913.0,0.3947123517368757,0.3834652769653136,0.4061212058283729,161
1916.0,0.3929722531320366,0.3820879087434832,0.40417092256761183,162
1923.0,0.39335334844849235,0.3819760096726274,0.40468351190913493,161
1936.0,0.39283007848982904,0.38154353076157943,0.4042632433812737,156
1943.0,0.3925314653174358,0.38109808870138556,0.40423760368177647,152
1957.0,0.3929020213274266,0.38121009644313414,0.4051258407429369,146
1972.0,0.390287164025229,0.37823904984122897,0.4022712490249625,147
1989.0,0.3903308194719041,0.3786509606172841,0.4022411202258418,149
1992.0,0.3903308194719041,0.37889393223927503,0.40180791365951823,149
1998.0,0.39199955994981256,0.38061622426799474,0.40359092377646655,148
2001.0,0.39199955994981256,0.38078273798828766,0.40350194811342754,148
2002.0,0.39199955994981256,0.38061901232475315,0.40345467769653004,148
2005.0,0.3912282176797927,0.3798001502482308,0.40280767419953467,147
2006.0,0.3909257496721811,0.379598707798781,0.40271590863175594,146
2009.0,0.3909257496721811,0.379340031210629,0.4022126970574396,146
2012.0,0.3901387915314885,0.3788550643762055,0.40144395638493746,147
2014.0,0.3910611624541978,0.37952736822250194,0.40236794739624065,146
2015.0,0.3910611624541978,0.3797614125323517,0.40254109616552586,146
2018.0,0.3910611624541978,0.37955158279733,0.40263824914263235,146
2033.0,0.39175965701523663,0.3800517986711447,0.40368615805106833,137
2034.0,0.39175965701523663,0.38000036752429733,0.403706013005295,137
2035.0,0.39175965701523663,0.37991507738385144,0.4037434068678304,137
2039.0,0.39134788235254875,0.3795615376980453,0.40322800887272275,138
2048.0,0.39052561631372673,0.3790204639456384,0.40227087926099314,139
2051.0,0.38998175469862634,0.37835561336224044,0.4017850752269482,139
2052.0,0.38998175469862634,0.3783788838020785,0.4014549234014054,139
2053.0,0.390125954416762,0.3786045785514671,0.40133626792191973,139
2054.0,0.390125954416762,0.3787656555921502,0.4016274221565824,139
2055.0,0.390125954416762,0.37834463218021264,0.4016421577478271,139
2058.0,0.390125954416762,0.378475412737836,0.4016301781734133,139
2060.0,0.390125954416762,0.3785471620725138,0.4021930007754087,139
2067.0,0.3894270628339925,0.3775288067893077,0.40133755607649213,137
2070.0,0.3893696812160826,0.377971454042337,0.40090883133485195,136
2085.0,0.3878482846256909,0.376279065067348,0.39974603266485975,134
2088.0,0.38773929294697707,0.3758324714194632,0.3996784593099986,133
2090.0,0.38789377401521585,0.37605050848385413,0.3996970446968408,133
